packet_size,inter_arrival_time,packet_rate,connection_duration,failed_logins,label
1590,0.621,967,3,10,attack
1540,0.585,907,3,8,attack
522,0.037,135,20,0,normal
1519,0.693,901,2,14,attack
487,0.016,102,23,0,normal
542,0.049,122,21,0,normal
541,0.01,107,19,0,normal
548,0.029,112,19,0,normal
503,0.049,135,17,0,normal
527,0.046,143,23,1,normal
498,0.016,116,18,0,normal
1734,0.601,893,4,12,attack
528,0.015,137,20,0,normal
502,0.022,139,17,0,normal
546,0.037,126,16,0,normal
1422,0.515,893,4,5,attack
507,0.027,120,19,0,normal
1556,0.545,893,1,11,attack
1520,0.427,855,2,14,attack
509,0.036,144,21,0,normal
549,0.021,147,17,0,normal
480,0.032,119,23,0,normal
546,0.012,134,16,0,normal
492,0.022,126,21,0,normal
494,0.017,109,24,0,normal
509,0.044,124,24,1,normal
533,0.034,124,21,0,normal
483,0.024,130,24,0,normal
1619,0.525,854,4,5,attack
502,0.039,130,21,0,normal
1421,0.647,931,2,6,attack
499,0.039,105,24,0,normal
523,0.037,111,24,0,normal
1747,0.625,958,4,6,attack
495,0.038,140,17,0,normal
487,0.024,141,19,0,normal
509,0.045,136,15,1,normal
547,0.021,116,21,0,normal
492,0.044,113,22,0,normal
545,0.011,111,17,0,normal
1420,0.577,873,3,9,attack
517,0.044,116,23,0,normal
485,0.047,138,24,0,normal
522,0.034,135,16,0,normal
496,0.025,101,19,0,normal
548,0.038,133,23,0,normal
537,0.043,143,20,0,normal
545,0.046,126,20,0,normal
531,0.028,121,22,0,normal
1417,0.508,955,3,7,attack
509,0.047,145,17,0,normal
486,0.022,130,16,0,normal
535,0.019,148,21,0,normal
548,0.046,114,23,0,normal
1666,0.633,887,4,6,attack
496,0.025,148,19,1,normal
543,0.03,133,23,0,normal
540,0.025,136,24,0,normal
549,0.037,119,18,0,normal
536,0.049,135,16,0,normal
518,0.043,128,18,0,normal
519,0.011,107,17,0,normal
484,0.033,106,24,0,normal
516,0.019,134,24,0,normal
532,0.022,126,22,0,normal
514,0.035,143,23,0,normal
507,0.033,140,24,0,normal
539,0.028,106,18,0,normal
522,0.041,117,18,0,normal
1530,0.691,883,3,13,attack
510,0.048,113,16,0,normal
528,0.033,119,20,0,normal
1706,0.555,841,2,5,attack
487,0.012,122,22,0,normal
1743,0.459,943,3,7,attack
519,0.018,126,23,0,normal
1672,0.417,801,1,7,attack
491,0.032,101,23,0,normal
511,0.035,111,21,0,normal
491,0.042,104,15,0,normal
504,0.019,149,23,0,normal
529,0.019,103,16,0,normal
499,0.027,113,18,0,normal
492,0.013,111,18,0,normal
515,0.049,128,18,0,normal
540,0.032,112,18,0,normal
1448,0.431,864,1,9,attack
508,0.043,135,16,0,normal
508,0.048,144,21,0,normal
523,0.018,105,15,0,normal
521,0.034,112,24,0,normal
516,0.04,138,20,0,normal
483,0.032,141,15,0,normal
515,0.016,135,23,0,normal
1657,0.509,899,1,10,attack
519,0.036,131,20,0,normal
486,0.017,106,19,0,normal
546,0.029,111,20,0,normal
486,0.049,137,21,0,normal
483,0.01,131,22,0,normal
484,0.026,102,16,0,normal
480,0.015,128,16,0,normal
507,0.031,147,23,0,normal
492,0.042,136,24,0,normal
526,0.033,144,22,0,normal
1797,0.406,990,1,5,attack
503,0.046,123,21,0,normal
497,0.026,132,19,0,normal
1552,0.686,950,2,11,attack
483,0.04,105,23,0,normal
519,0.011,119,20,0,normal
1543,0.501,889,4,5,attack
518,0.025,129,19,0,normal
490,0.043,143,20,0,normal
523,0.035,122,22,0,normal
549,0.033,128,15,0,normal
1481,0.556,829,4,11,attack
519,0.046,112,20,0,normal
1490,0.641,923,1,11,attack
523,0.024,103,22,0,normal
547,0.019,144,22,0,normal
495,0.035,132,21,0,normal
516,0.034,149,20,0,normal
506,0.039,128,20,0,normal
545,0.039,144,19,0,normal
539,0.018,128,16,0,normal
488,0.023,146,23,0,normal
523,0.036,142,23,0,normal
531,0.038,104,21,0,normal
518,0.036,144,17,0,normal
497,0.022,140,16,0,normal
498,0.046,123,16,0,normal
1710,0.672,897,3,14,attack
501,0.037,138,23,0,normal
1542,0.686,837,1,9,attack
522,0.013,138,17,0,normal
483,0.027,148,24,0,normal
543,0.039,104,17,1,normal
505,0.022,109,19,0,normal
513,0.014,110,23,0,normal
534,0.025,104,15,0,normal
542,0.017,139,24,0,normal
1556,0.424,997,2,13,attack
538,0.047,125,24,0,normal
507,0.034,121,23,0,normal
539,0.034,145,16,0,normal
517,0.048,138,21,0,normal
549,0.024,122,19,0,normal
542,0.022,141,21,0,normal
527,0.029,106,21,0,normal
531,0.013,147,15,0,normal
1430,0.457,852,3,7,attack
543,0.018,101,16,0,normal
518,0.038,149,21,0,normal
1418,0.524,988,4,14,attack
494,0.013,111,24,0,normal
499,0.014,125,21,0,normal
548,0.016,108,20,0,normal
496,0.022,131,22,0,normal
1711,0.523,854,3,5,attack
482,0.029,117,21,0,normal
1645,0.579,938,2,11,attack
1404,0.654,868,4,14,attack
521,0.033,119,15,0,normal
482,0.04,113,21,0,normal
523,0.022,106,18,0,normal
1511,0.424,998,1,12,attack
529,0.043,135,24,0,normal
522,0.039,132,16,0,normal
491,0.017,111,17,0,normal
525,0.017,143,22,0,normal
525,0.033,132,21,0,normal
493,0.05,115,24,0,normal
505,0.035,108,20,0,normal
483,0.015,147,19,0,normal
1450,0.404,995,2,9,attack
521,0.015,110,23,0,normal
480,0.018,127,23,0,normal
497,0.04,107,20,0,normal
1481,0.671,810,2,13,attack
497,0.019,124,19,0,normal
1627,0.472,866,2,9,attack
1734,0.413,978,2,11,attack
544,0.011,146,15,0,normal
485,0.049,137,19,0,normal
1766,0.622,995,4,12,attack
548,0.049,110,15,0,normal
493,0.03,110,19,0,normal
1482,0.548,983,1,7,attack
502,0.016,128,20,0,normal
1772,0.639,956,2,9,attack
482,0.034,104,16,0,normal
1490,0.664,980,3,8,attack
1521,0.519,870,3,12,attack
508,0.041,100,18,0,normal
515,0.037,137,23,0,normal
538,0.016,119,15,0,normal
549,0.042,143,22,0,normal
545,0.014,123,19,0,normal
490,0.031,127,24,0,normal
540,0.02,113,21,0,normal
538,0.029,118,16,0,normal
490,0.047,111,18,0,normal
1464,0.67,864,3,12,attack
1412,0.641,966,2,13,attack
1493,0.698,937,1,8,attack
535,0.012,115,23,0,normal
495,0.02,125,24,0,normal
1428,0.547,827,2,7,attack
509,0.012,141,19,0,normal
528,0.029,131,23,0,normal
1507,0.621,919,1,9,attack
487,0.024,124,23,0,normal
496,0.027,117,21,0,normal
520,0.011,139,16,0,normal
491,0.019,122,15,0,normal
533,0.02,131,24,0,normal
1725,0.47,957,3,8,attack
1585,0.686,930,1,5,attack
549,0.015,138,24,0,normal
507,0.043,104,18,0,normal
517,0.031,129,15,0,normal
505,0.038,130,24,0,normal
496,0.018,130,19,0,normal
498,0.05,107,15,0,normal
526,0.049,114,15,0,normal
496,0.029,106,15,0,normal
1460,0.486,953,2,14,attack
1698,0.62,896,1,8,attack
543,0.016,120,18,0,normal
1657,0.648,983,3,12,attack
514,0.027,147,21,0,normal
496,0.023,123,21,0,normal
492,0.033,136,17,0,normal
537,0.02,147,21,0,normal
538,0.032,136,18,0,normal
520,0.035,146,21,0,normal
547,0.028,126,19,0,normal
1744,0.459,811,3,12,attack
1406,0.521,801,4,7,attack
520,0.049,123,23,0,normal
1582,0.422,918,1,13,attack
517,0.036,147,20,0,normal
548,0.013,103,20,0,normal
532,0.018,107,23,0,normal
524,0.026,135,22,0,normal
545,0.038,134,21,0,normal
496,0.037,114,17,0,normal
545,0.033,125,21,0,normal
1489,0.427,883,1,6,attack
1759,0.435,940,3,9,attack
480,0.046,144,23,0,normal
510,0.03,140,20,0,normal
513,0.024,124,16,1,normal
505,0.049,131,22,0,normal
533,0.032,119,22,0,normal
532,0.041,110,17,0,normal
480,0.023,113,19,0,normal
529,0.039,110,18,0,normal
500,0.016,139,19,0,normal
489,0.031,130,21,0,normal
518,0.022,130,16,0,normal
481,0.018,147,16,0,normal
500,0.025,144,19,0,normal
536,0.032,139,23,0,normal
522,0.024,129,15,0,normal
515,0.046,137,23,0,normal
485,0.033,147,15,0,normal
536,0.04,115,18,0,normal
1682,0.493,810,3,9,attack
529,0.013,140,16,0,normal
517,0.021,120,17,0,normal
1611,0.474,963,3,12,attack
1579,0.525,842,3,8,attack
481,0.03,142,19,0,normal
1694,0.406,859,2,13,attack
530,0.028,117,22,0,normal
501,0.02,147,21,0,normal
495,0.041,136,19,0,normal
480,0.026,141,20,0,normal
1538,0.444,985,1,14,attack
511,0.031,125,20,0,normal
518,0.039,127,18,0,normal
512,0.05,126,18,0,normal
508,0.033,103,18,0,normal
531,0.043,121,23,0,normal
546,0.034,106,16,0,normal
1505,0.602,854,2,5,attack
533,0.039,133,20,0,normal
486,0.035,104,20,0,normal
513,0.025,124,20,0,normal
520,0.017,138,22,0,normal
548,0.023,133,15,0,normal
540,0.025,100,17,0,normal
483,0.014,134,15,0,normal
489,0.038,146,21,0,normal
1468,0.661,886,4,14,attack
519,0.027,148,15,0,normal
500,0.022,118,21,0,normal
521,0.028,138,18,0,normal
508,0.014,127,22,0,normal
543,0.045,146,24,0,normal
532,0.049,109,21,0,normal
1627,0.615,888,2,12,attack
513,0.036,141,17,0,normal
541,0.039,101,15,0,normal
506,0.049,129,17,0,normal
511,0.04,144,15,0,normal
1598,0.672,966,2,9,attack
525,0.022,131,23,0,normal
1645,0.58,887,4,7,attack
540,0.022,129,16,1,normal
493,0.028,127,22,0,normal
1671,0.486,829,2,7,attack
530,0.018,110,16,0,normal
493,0.038,123,23,0,normal
506,0.02,133,19,0,normal
521,0.019,104,23,0,normal
503,0.021,135,22,0,normal
488,0.045,123,15,0,normal
549,0.043,117,16,0,normal
521,0.047,113,19,0,normal
530,0.025,110,24,0,normal
495,0.025,119,18,0,normal
480,0.037,128,24,0,normal
534,0.017,134,24,0,normal
516,0.048,137,17,0,normal
501,0.049,125,20,0,normal
516,0.019,116,23,0,normal
540,0.023,101,15,0,normal
1526,0.629,946,1,5,attack
486,0.048,113,23,0,normal
548,0.025,130,20,0,normal
483,0.02,103,18,0,normal
500,0.033,101,20,0,normal
489,0.013,125,18,0,normal
539,0.031,116,17,0,normal
496,0.018,116,16,0,normal
525,0.044,136,19,0,normal
1594,0.652,995,4,6,attack
491,0.034,122,17,0,normal
511,0.03,121,20,0,normal
489,0.042,125,17,0,normal
1458,0.447,818,4,14,attack
494,0.045,107,24,0,normal
1613,0.441,949,3,10,attack
537,0.029,141,24,0,normal
1599,0.491,996,2,12,attack
1627,0.402,998,1,7,attack
520,0.011,139,22,0,normal
538,0.017,104,23,0,normal
486,0.041,111,18,0,normal
501,0.01,106,16,0,normal
523,0.017,136,23,0,normal
1408,0.44,981,1,12,attack
1781,0.463,887,4,14,attack
520,0.037,145,24,0,normal
521,0.014,126,16,0,normal
547,0.028,112,15,0,normal
544,0.01,128,20,0,normal
508,0.05,101,18,0,normal
500,0.035,120,17,1,normal
549,0.03,115,22,0,normal
512,0.04,147,22,0,normal
1522,0.692,875,1,8,attack
519,0.05,129,22,0,normal
521,0.029,124,21,0,normal
543,0.011,103,23,0,normal
1470,0.673,959,4,14,attack
500,0.018,130,17,0,normal
494,0.021,138,21,0,normal
527,0.018,134,17,0,normal
547,0.017,128,18,0,normal
504,0.044,132,15,0,normal
521,0.024,117,16,0,normal
1475,0.573,880,1,11,attack
1507,0.408,854,1,13,attack
549,0.013,136,15,0,normal
512,0.027,120,22,0,normal
507,0.042,121,15,0,normal
505,0.024,139,20,0,normal
523,0.021,128,16,0,normal
481,0.021,128,20,0,normal
1519,0.533,894,1,6,attack
494,0.042,101,20,0,normal
1735,0.498,966,2,9,attack
498,0.046,122,23,1,normal
527,0.045,118,24,0,normal
522,0.042,122,16,0,normal
505,0.034,127,19,0,normal
1727,0.48,969,2,13,attack
497,0.017,134,22,0,normal
540,0.046,104,17,0,normal
533,0.041,119,24,0,normal
521,0.042,145,16,0,normal
491,0.01,138,17,0,normal
1572,0.673,899,2,9,attack
516,0.017,149,18,0,normal
524,0.05,119,20,0,normal
530,0.043,133,17,0,normal
519,0.013,142,16,0,normal
489,0.014,104,20,0,normal
505,0.012,131,19,0,normal
547,0.016,116,24,0,normal
491,0.019,112,21,0,normal
509,0.028,118,24,0,normal
512,0.023,126,16,0,normal
548,0.012,130,22,0,normal
1451,0.566,929,3,8,attack
491,0.038,106,21,0,normal
1473,0.436,802,2,5,attack
1469,0.65,884,2,10,attack
533,0.026,102,17,0,normal
534,0.013,127,18,0,normal
1410,0.617,949,3,11,attack
482,0.015,120,20,0,normal
1633,0.535,877,1,9,attack
537,0.047,116,24,0,normal
487,0.023,118,24,0,normal
539,0.025,135,21,0,normal
489,0.034,113,17,0,normal
543,0.045,107,21,0,normal
1466,0.421,891,1,7,attack
548,0.02,130,16,0,normal
534,0.023,146,15,0,normal
544,0.014,103,17,0,normal
536,0.046,113,16,0,normal
494,0.048,124,21,0,normal
518,0.012,132,21,0,normal
488,0.033,111,17,0,normal
491,0.025,134,22,0,normal
544,0.019,113,23,0,normal
490,0.029,136,17,0,normal
547,0.027,111,20,0,normal
546,0.014,100,16,0,normal
1543,0.559,922,2,11,attack
1424,0.549,884,3,8,attack
481,0.017,143,24,0,normal
493,0.04,137,18,0,normal
526,0.01,127,19,0,normal
523,0.024,141,21,0,normal
502,0.02,124,23,0,normal
1691,0.66,885,3,12,attack
516,0.033,137,15,0,normal
503,0.018,147,24,0,normal
534,0.038,113,22,0,normal
1476,0.692,869,3,12,attack
522,0.021,134,15,0,normal
520,0.024,111,21,0,normal
1412,0.448,824,3,8,attack
496,0.04,140,15,0,normal
484,0.037,135,20,0,normal
480,0.044,107,19,0,normal
481,0.018,102,18,0,normal
527,0.014,118,21,0,normal
526,0.046,107,20,0,normal
511,0.014,112,19,0,normal
528,0.015,120,20,0,normal
1481,0.626,941,2,10,attack
1616,0.571,857,3,14,attack
1426,0.45,903,3,14,attack
532,0.033,101,24,0,normal
490,0.014,138,16,0,normal
502,0.035,124,19,0,normal
1561,0.61,901,4,8,attack
499,0.043,109,17,0,normal
518,0.02,116,17,0,normal
1752,0.543,914,3,11,attack
484,0.033,123,19,0,normal
522,0.02,115,17,0,normal
498,0.029,120,22,0,normal
533,0.041,117,23,0,normal
546,0.045,110,19,0,normal
1751,0.485,924,1,6,attack
505,0.021,135,21,0,normal
498,0.046,148,15,0,normal
482,0.038,124,20,0,normal
1749,0.437,964,4,11,attack
533,0.046,143,16,0,normal
536,0.015,147,22,0,normal
542,0.044,148,17,0,normal
1580,0.442,880,1,5,attack
548,0.04,127,23,0,normal
1552,0.538,847,1,9,attack
1750,0.679,904,3,11,attack
497,0.026,130,15,0,normal
530,0.011,116,22,0,normal
1782,0.442,955,1,9,attack
503,0.031,112,15,1,normal
504,0.041,105,18,0,normal
1428,0.631,869,1,5,attack
1537,0.636,975,1,14,attack
1408,0.406,991,4,13,attack
501,0.011,104,16,0,normal
524,0.018,147,18,0,normal
544,0.027,149,22,0,normal
1714,0.542,805,4,11,attack
537,0.018,125,24,0,normal
504,0.031,103,17,0,normal
499,0.035,104,19,0,normal
508,0.013,139,16,0,normal
504,0.017,106,24,0,normal
1745,0.534,992,4,6,attack
511,0.011,135,20,0,normal
500,0.03,110,17,0,normal
548,0.048,100,21,0,normal
517,0.042,128,21,0,normal
536,0.043,135,20,0,normal
542,0.038,112,22,0,normal
540,0.017,136,17,0,normal
1771,0.473,917,3,12,attack
544,0.012,126,16,0,normal
504,0.033,109,19,0,normal
502,0.03,117,23,0,normal
542,0.046,119,15,1,normal
537,0.029,104,24,0,normal
524,0.027,115,24,0,normal
534,0.041,146,20,0,normal
1756,0.488,868,3,9,attack
515,0.04,107,22,0,normal
1428,0.493,900,2,7,attack
546,0.036,144,20,0,normal
1778,0.46,935,4,7,attack
513,0.031,119,24,0,normal
538,0.015,124,15,0,normal
485,0.017,147,18,0,normal
541,0.041,125,16,0,normal
1439,0.542,864,1,14,attack
505,0.049,129,23,0,normal
486,0.016,121,19,0,normal
532,0.034,126,23,0,normal
506,0.026,120,15,0,normal
549,0.025,138,20,0,normal
533,0.028,114,24,1,normal
494,0.023,149,17,0,normal
1482,0.499,819,3,12,attack
526,0.026,128,23,0,normal
481,0.034,121,23,0,normal
539,0.027,143,24,0,normal
1751,0.673,996,3,8,attack
547,0.021,100,24,0,normal
526,0.036,117,22,0,normal
1583,0.482,966,4,14,attack
536,0.033,121,20,1,normal
539,0.03,144,24,0,normal
1625,0.619,902,2,10,attack
1622,0.564,820,1,7,attack
531,0.031,119,18,0,normal
520,0.014,146,16,0,normal
526,0.038,144,21,0,normal
508,0.014,121,18,0,normal
543,0.039,126,19,0,normal
489,0.042,112,21,0,normal
525,0.032,105,15,0,normal
521,0.021,114,20,0,normal
530,0.04,149,23,0,normal
506,0.041,129,20,0,normal
517,0.048,140,19,0,normal
1692,0.501,925,2,8,attack
1683,0.414,868,3,9,attack
547,0.04,148,24,0,normal
544,0.047,116,22,0,normal
528,0.033,112,15,0,normal
533,0.016,143,23,0,normal
536,0.041,124,20,0,normal
504,0.044,118,16,0,normal
522,0.02,133,20,0,normal
509,0.033,113,20,0,normal
512,0.049,126,23,0,normal
535,0.032,107,23,0,normal
512,0.02,131,23,0,normal
514,0.014,137,23,0,normal
513,0.042,126,16,0,normal
531,0.028,136,24,0,normal
521,0.031,126,18,0,normal
538,0.034,100,24,0,normal
537,0.021,144,17,0,normal
528,0.027,109,15,0,normal
547,0.025,136,20,0,normal
512,0.026,129,23,0,normal
1468,0.562,950,4,11,attack
534,0.026,148,20,0,normal
490,0.037,145,18,0,normal
486,0.013,133,19,0,normal
1445,0.5,996,3,12,attack
483,0.024,109,24,0,normal
514,0.027,101,16,0,normal
548,0.027,130,20,0,normal
541,0.039,108,16,0,normal
523,0.036,145,20,0,normal
506,0.039,101,17,0,normal
487,0.011,128,23,0,normal
506,0.042,149,17,0,normal
542,0.015,124,18,0,normal
544,0.016,115,23,0,normal
488,0.041,120,15,0,normal
503,0.044,108,24,0,normal
1661,0.608,805,3,10,attack
1545,0.476,826,1,14,attack
506,0.026,137,15,0,normal
518,0.044,127,16,0,normal
1799,0.51,979,1,9,attack
490,0.018,148,20,0,normal
491,0.044,144,23,0,normal
509,0.041,138,22,0,normal
1710,0.449,952,1,12,attack
1790,0.612,999,4,7,attack
509,0.039,111,18,0,normal
492,0.038,116,22,0,normal
515,0.024,146,18,0,normal
538,0.017,121,22,0,normal
546,0.014,133,20,0,normal
489,0.034,143,18,0,normal
507,0.015,142,19,0,normal
508,0.045,147,22,0,normal
547,0.033,146,19,0,normal
528,0.016,140,17,0,normal
488,0.022,116,18,0,normal
513,0.027,132,15,0,normal
488,0.046,116,22,0,normal
533,0.03,147,21,0,normal
485,0.041,130,16,0,normal
504,0.02,112,15,0,normal
536,0.043,125,17,0,normal
509,0.045,115,17,0,normal
536,0.045,136,17,0,normal
507,0.028,121,16,0,normal
513,0.012,136,23,0,normal
482,0.033,138,16,0,normal
547,0.049,110,24,1,normal
483,0.039,121,19,0,normal
512,0.043,141,21,0,normal
513,0.037,101,17,0,normal
484,0.039,142,22,0,normal
527,0.042,107,16,0,normal
1453,0.574,957,4,8,attack
1594,0.449,905,4,9,attack
537,0.028,109,24,1,normal
507,0.018,130,20,0,normal
500,0.034,127,16,1,normal
501,0.032,141,16,0,normal
1722,0.568,803,1,5,attack
492,0.015,103,19,1,normal
499,0.049,132,24,0,normal
518,0.024,102,18,0,normal
1671,0.562,951,4,6,attack
527,0.027,132,17,0,normal
547,0.034,105,16,0,normal
537,0.024,111,18,0,normal
509,0.037,119,15,0,normal
526,0.042,103,17,0,normal
1463,0.473,983,2,6,attack
1538,0.436,890,2,8,attack
1799,0.558,869,2,11,attack
524,0.041,102,17,0,normal
1491,0.59,955,4,5,attack
518,0.045,109,21,0,normal
526,0.012,138,24,0,normal
538,0.027,115,15,0,normal
546,0.036,121,20,1,normal
498,0.035,137,19,0,normal
1613,0.521,858,2,5,attack
543,0.031,138,21,0,normal
512,0.047,134,23,0,normal
481,0.019,141,24,0,normal
481,0.031,135,19,0,normal
1486,0.622,916,2,12,attack
482,0.024,126,16,0,normal
515,0.045,116,23,0,normal
496,0.037,124,16,0,normal
510,0.027,121,21,0,normal
496,0.037,137,20,0,normal
502,0.028,109,21,0,normal
533,0.028,135,16,0,normal
539,0.033,147,19,0,normal
1644,0.642,890,2,5,attack
510,0.031,132,15,0,normal
526,0.044,128,18,0,normal
518,0.02,117,22,0,normal
498,0.021,140,22,0,normal
490,0.029,121,15,0,normal
495,0.027,145,19,0,normal
1474,0.448,897,1,9,attack
505,0.044,136,22,0,normal
525,0.012,140,19,0,normal
1434,0.693,906,2,5,attack
495,0.036,124,19,0,normal
507,0.034,117,21,0,normal
1799,0.552,824,4,5,attack
508,0.046,133,19,1,normal
523,0.049,141,16,0,normal
485,0.043,136,20,0,normal
1409,0.58,849,2,5,attack
1416,0.407,888,2,6,attack
503,0.022,136,19,0,normal
1536,0.441,909,1,14,attack
501,0.031,136,23,0,normal
481,0.018,110,21,0,normal
1692,0.541,981,4,8,attack
1482,0.441,910,1,8,attack
1571,0.685,916,1,13,attack
1657,0.569,970,4,7,attack
482,0.011,138,22,0,normal
483,0.018,141,17,0,normal
482,0.021,118,17,0,normal
489,0.047,112,16,0,normal
484,0.024,132,21,0,normal
533,0.043,125,23,1,normal
507,0.025,136,18,0,normal
515,0.041,134,18,0,normal
528,0.042,107,21,0,normal
1449,0.505,811,4,8,attack
504,0.042,124,18,1,normal
526,0.034,132,18,0,normal
498,0.037,125,16,0,normal
493,0.041,141,18,0,normal
1720,0.655,953,3,14,attack
498,0.014,112,19,0,normal
533,0.05,129,16,0,normal
1467,0.405,955,1,5,attack
524,0.014,143,24,0,normal
495,0.03,125,16,0,normal
495,0.016,135,20,0,normal
498,0.024,110,19,0,normal
497,0.012,111,24,0,normal
1529,0.611,805,2,13,attack
1792,0.539,923,3,11,attack
536,0.032,103,21,0,normal
481,0.037,145,19,0,normal
517,0.03,135,19,0,normal
548,0.034,104,19,0,normal
526,0.045,112,15,0,normal
535,0.013,145,15,0,normal
496,0.021,105,24,0,normal
1626,0.426,811,3,10,attack
539,0.029,149,17,0,normal
528,0.049,129,15,0,normal
538,0.029,120,23,0,normal
499,0.036,147,17,0,normal
508,0.034,116,15,0,normal
491,0.034,131,20,0,normal
515,0.015,124,16,0,normal
496,0.04,139,23,1,normal
521,0.033,127,15,0,normal
509,0.035,122,19,0,normal
480,0.012,136,16,0,normal
539,0.043,109,16,0,normal
1542,0.623,922,3,14,attack
480,0.029,134,19,1,normal
543,0.02,109,22,0,normal
1775,0.509,810,4,8,attack
481,0.026,131,18,1,normal
1669,0.607,977,1,8,attack
501,0.034,130,20,0,normal
502,0.017,102,19,0,normal
531,0.04,107,21,0,normal
486,0.028,141,18,0,normal
1593,0.41,821,3,8,attack
480,0.027,130,16,0,normal
511,0.021,141,18,0,normal
508,0.043,117,23,0,normal
543,0.015,117,21,0,normal
506,0.032,123,20,0,normal
544,0.03,106,22,0,normal
506,0.048,128,17,1,normal
502,0.019,133,22,1,normal
503,0.046,106,20,0,normal
1762,0.505,970,1,10,attack
522,0.021,131,21,0,normal
497,0.013,142,20,0,normal
486,0.032,107,23,0,normal
537,0.042,106,19,0,normal
534,0.014,104,15,0,normal
482,0.038,103,22,0,normal
498,0.016,144,24,0,normal
481,0.021,145,16,0,normal
492,0.03,138,18,0,normal
1497,0.55,893,1,14,attack
507,0.035,148,17,0,normal
522,0.02,148,19,0,normal
491,0.033,129,23,0,normal
531,0.036,103,22,0,normal
535,0.047,143,18,0,normal
484,0.05,103,16,0,normal
481,0.05,103,24,0,normal
